date,fpi_equity_net_cr,fpi_equity_net_usd_mn,fpi_total_net_cr,unit,source,source_url,fetched_at
2026-01-22,-988.7,-107.99,-1561.41,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:31
2026-01-23,-2264.18,-247.23,-856.2,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:32
2026-01-27,-3213.11,-350.7,-2296.72,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:33
2026-01-28,-4468.52,-486.64,-6068.94,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:35
2026-01-29,5390.31,587.85,4327.86,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:36
2026-01-30,-72.29,-7.86,2420.47,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:37
2026-02-02,1905.75,207.38,5396.44,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:38
2026-02-03,-1117.42,-121.93,-496.89,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:39
2026-02-04,7561.44,835.98,6731.93,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:39
2026-02-05,1091.9,120.7,3947.49,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:40
2026-02-06,-1312.79,-145.23,-30.69,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:41
2026-02-09,3511.64,388.39,3094.88,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:42
2026-02-10,3697.55,409.02,4069.09,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:43
2026-02-11,320.31,35.36,1473.68,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:44
2026-02-12,3112.85,343.71,3113.09,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:45
2026-02-13,903.46,99.72,2408.18,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:46
2026-02-16,-6092.61,-671.43,-4130.26,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:47
2026-02-17,-214.38,-23.63,1032.49,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:47
2026-02-18,1620.09,178.48,2642.28,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:48
2026-02-20,1923.76,212.18,2490.34,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:51
2026-02-23,-244.93,-26.93,650.26,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:52
2026-02-24,4397.25,484.57,4180.21,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:53
2026-02-25,2887.62,317.44,1917.22,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:54
2026-02-26,1092.59,120.13,2093.08,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:55
2026-02-27,-2429.16,-267.21,-2778.36,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:56
2026-03-02,-5467.47,-601.12,-4593.97,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:57
2026-03-04,-2988.65,-326.8,-1920.89,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:58
2026-03-05,-9113.42,-987.56,-11141.74,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:59
2026-03-06,-3430.25,-374.37,-3162.11,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:00
2026-03-09,-6349.1,-692.51,-7609.01,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:15:01
